nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion,diametro_promedio_km,fecha_procesamiento
3648769,(2013 TK4),23.98,0.0425162524,0.0950692305,False,2025-01-02,17.9086965031,53240801.671820946,2026-04-15 20:51:40.360107,0.06879274145,2026-04-15 15:56:41
3656933,(2014 BM25),28.1,0.0063760979,0.0142573883,False,2025-01-02,15.3371937843,42733613.705436125,2026-04-15 20:51:40.360112,0.0103167431,2026-04-15 15:56:41
3703792,(2015 BF),26.6,0.0127219879,0.0284472297,False,2025-01-02,25.6759881383,72149352.40152915,2026-04-15 20:51:40.360117,0.0205846088,2026-04-15 15:56:41
3766462,(2017 AZ13),21.97,0.1072889455,0.2399053753,False,2025-01-02,11.9983603675,24373475.96157024,2026-04-15 20:51:40.360121,0.1735971604,2026-04-15 15:56:41
3837784,(2019 AR8),25.61,0.0200703514,0.0448786701,False,2025-01-02,22.7966474576,66096247.494589694,2026-04-15 20:51:40.360126,0.03247451075,2026-04-15 15:56:41
3842769,(2019 LS1),22.48,0.0848310762,0.189688053,False,2025-01-02,12.4314874464,18639595.585777443,2026-04-15 20:51:40.360132,0.1372595646,2026-04-15 15:56:41
3843713,(2019 QS6),26.1,0.0160160338,0.0358129403,False,2025-01-02,5.1027498837,40941595.58601589,2026-04-15 20:51:40.360136,0.025914487049999997,2026-04-15 15:56:41
3968754,(2019 YA5),26.0,0.0167708462,0.0375007522,False,2025-01-02,12.6061556875,41802119.06605575,2026-04-15 20:51:40.360141,0.0271357992,2026-04-15 15:56:41
54317879,(2022 UF4),24.54,0.0328514828,0.0734581487,False,2025-01-02,11.5515942115,57230310.206517674,2026-04-15 20:51:40.360146,0.05315481575,2026-04-15 15:56:41
54327895,(2022 WF2),26.33,0.0144063837,0.0322136532,False,2025-01-02,9.5944349644,49729029.56671141,2026-04-15 20:51:40.360150,0.023310018449999997,2026-04-15 15:56:41
54433331,(2024 GE2),27.97,0.0067694748,0.0151370059,False,2025-01-02,4.8695813606,25623356.202202097,2026-04-15 20:51:40.360155,0.01095324035,2026-04-15 15:56:41
54505721,(2024 XP10),24.57,0.0324007435,0.0724502651,False,2025-01-02,8.4207397855,7568817.944598584,2026-04-15 20:51:40.360163,0.052425504299999995,2026-04-15 15:56:41
54507534,(2024 XB20),26.0,0.0167708462,0.0375007522,False,2025-01-02,2.839333716,13658066.37012045,2026-04-15 20:51:40.360168,0.0271357992,2026-04-15 15:56:41
54509097,(2024 YR3),25.45,0.0216050351,0.0483103272,False,2025-01-02,3.6956346823,9453011.883683765,2026-04-15 20:51:40.360173,0.03495768115,2026-04-15 15:56:41
54511078,(2024 YF7),25.76,0.0187307418,0.0418832119,False,2025-01-02,13.5690330333,1938313.915635721,2026-04-15 20:51:40.360177,0.03030697685,2026-04-15 15:56:41
54511096,(2024 YR8),24.6,0.0319561887,0.0714562102,False,2025-01-02,16.2042977054,8089871.903503406,2026-04-15 20:51:40.360181,0.05170619945,2026-04-15 15:56:41
54512607,(2024 YR9),25.74,0.0189040552,0.0422707525,False,2025-01-02,20.7411443242,3348567.216768578,2026-04-15 20:51:40.360186,0.03058740385,2026-04-15 15:56:41
54512608,(2024 YS9),27.82,0.0072536229,0.016219594,False,2025-01-02,21.2159080739,1582435.722210165,2026-04-15 20:51:40.360190,0.01173660845,2026-04-15 15:56:41
54513049,(2025 AC),29.02,0.0041740243,0.0093334022,False,2025-01-02,4.2789783774,140221.389663927,2026-04-15 20:51:40.360198,0.00675371325,2026-04-15 15:56:41
